RA,DE,Internal_ID,main_id,otype,otypes,ra_simbad,dec_simbad,multiple_counterpars,sep2simbad,massive_star,ms_contaminant,giant_label,giant_prob,extragalactic_label,extragalactic_prob,alpha_2_24,intercept_2_24,class_2_24,EW_Li,e_EW_Li,f_EW_Li,li_ref,EW_Li_,e_EW_Li_,f_EW_Li_,li_ref_,Ha_ID,HaRA,HaDE,HaID,Ha_ref,EW_Ha,e_EW_Ha,f_EW_Ha,_EW_Ha,_e_EW_Ha,_f_EW_Ha,e_up_EW_Ha,e_low_EW_Ha,Ha_line_flag,Ha_comment,W10_Ha,e_W10_Ha,e_up_W10_Ha,e_low_W10_Ha,f_W10_Ha,W10_HA_comment,EW_Ha_PHOT,e_EW_Ha_PHOT,Ha_sep,s_sep,s_ref,veiling_ropt,e_veiling_ropt,f_veiling_ropt,comment_veiling_ropt,veiling_rk,e_veiling_rk,f_veiling_rk,comment_veiling_rk,E_rk_1_CG2010,e_low_veiling_rk,veiling_rh,e_veiling_rh,f_veiling_rh,comment_veiling_rh,veiling_r7465,e_veiling_r7465,f_veiling_r7465,comment_veiling_r7465
85.260541,-1.727189,5216,2MASS J05410252-0143378,Y*O,*|NIR|Y*O,85.26055991,-1.727197039,,0.073934801,false,false,false,,false,,-0.659320188,-11.11780631,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.28821,-1.761267,5217,[MGM2012] 3489,Y*O,Y*O,85.28816667,-1.761166667,,0.393418927,false,false,false,,false,,0.353876406,-10.96497785,0/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.321511,-1.731055,5219,2MASS J05411715-0143517,Y*O,*|NIR|Y*O,85.32151103,-1.731069845,,0.053441085,false,false,false,,false,,-0.676404227,-10.56986581,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.325036,-1.824877,5220,2MASS J05411799-0149292,Y*O,*|MIR|NIR|X|Y*O,85.324989,-1.824787,,0.365479971,false,false,false,,false,,-0.938400474,-10.24000599,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.207,0.0298,,,,,,
85.326652,-1.831386,5221,2MASS J05411838-0149531,Y*O,*|NIR|X|Y*O,85.32665162,-1.831447286,,0.220634289,false,true,false,,false,,-0.62057614,-10.06417752,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.299,0.0334,,,,,,
85.356416,-1.802522,5225,2MASS J05412553-0148092,Y*O,*|NIR|X|Y*O,85.35639338,-1.802572839,,0.200298489,false,false,false,,false,,-0.971587022,-10.20923346,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.408,0.0439,,,,,,
85.358807,-2.004507,5226,Haro 5-58,Or*,*|IR|LP?|MIR|NIR|Or*|V*|X|Y*O|ev,85.35881665,-2.004498944,,0.045228438,false,false,false,0.0,false,0.23,-0.467002374,-9.776742764,II,,,,,,,,,21687,,,,2023A%26A...674A..26C,-5.4304713,0.3461984,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.656,0.0372,,,,,,
85.362023,-1.712931,5227,Kiso A-0904 119,Y*O,*|Em*|IR|MIR|NIR|Y*O,85.36192343,-1.712838058,,0.490234176,false,false,false,0.03,false,,-0.772012203,-8.991458071,II,,,,,,,,,21688,,,,2023A%26A...674A..26C,-7.427022,0.5692197,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.976,0.066,,,,,,
85.372202,-1.639503,5229,2MASS J05412932-0138221,Y*O,*|NIR|Y*O,85.37217319,-1.639485894,,0.120597697,false,false,false,,false,,-0.734275337,-9.70680469,II,,,,,,,,,21689,,,,2023A%26A...674A..26C,-2.0329301,0.05818126,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.344,0.0349,,,,,,
85.374294,-1.693837,5230,2MASS J05412982-0141378,Y*O,*|LP?|NIR|Y*O,85.37429989,-1.693829617,,0.03399952,false,false,false,,false,,-1.218671693,-9.544505905,II,,,,,,,,,16209,,,,2012RAA....12..723Z,-86.491486,-0.893842,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,1.39,0.0572,,,,,,
