RAJ2000,DEJ2000,Seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,__3_6_,e__3_6_,__4_5_,e__4_5_,__5_8_,e__5_8_,__8_0_,e__8_0_,__24_,e__24_,AKs,alpha,Cl,_2M,Simbad
83.828835,-6.457028,874,13.14,0.03,12.39,0.03,11.89,0.02,11.2,0.01,11.02,0.01,10.45,0.01,9.77,0.01,6.6,0.02,0.0,-1.12,"D ",2M,Simbad
84.15629,-6.4547777,875,13.74,0.03,13.12,0.03,12.8,0.02,12.41,0.01,12.18,0.01,11.96,0.02,11.42,0.02,0.0,0.0,0.0,-1.71,"D ",2M,Simbad
83.67975,-6.4540834,876,12.76,0.03,12.12,0.03,11.83,0.02,11.33,0.01,11.04,0.01,10.69,0.01,9.91,0.01,6.94,0.03,0.0,-1.21,"D ",2M,Simbad
83.87679,-6.4520555,877,15.32,0.04,14.84,0.08,14.58,0.08,13.95,0.02,13.7,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"D ",2M,Simbad
83.86875,-6.4505,878,15.16,0.06,13.92,0.06,13.3,0.03,11.32,0.01,10.08,0.01,9.02,0.01,7.67,0.01,3.68,0.01,0.45,1.32,"P ",2M,Simbad
83.87425,-6.4495,879,15.06,0.05,13.6,0.05,12.38,0.03,9.99,0.01,8.18,0.01,6.99,0.01,5.97,0.01,0.0,0.01,0.29,1.69,"P ",2M,Simbad
84.08813,-6.4490833,880,14.61,0.04,13.97,0.05,13.52,0.04,12.85,0.01,12.52,0.01,12.12,0.02,11.66,0.03,0.0,0.0,0.0,-1.45,"D ",2M,Simbad
84.00367,-6.443333,881,14.78,0.04,13.9,0.04,13.41,0.04,12.6,0.01,12.09,0.01,11.65,0.01,10.96,0.02,8.44,0.07,0.1,-0.97,"D ",2M,Simbad
83.87871,-6.44225,882,15.78,0.08,13.79,0.06,12.69,0.03,11.59,0.01,10.96,0.01,10.33,0.01,9.12,0.01,3.4,0.01,1.07,-0.02,"P ",2M,Simbad
83.61175,-6.440583,883,13.7,0.03,13.05,0.04,12.82,0.03,12.41,0.01,12.24,0.01,11.96,0.01,11.53,0.02,9.08,0.11,0.01,-1.81,"D ",2M,Simbad
84.380455,-6.4383054,884,15.22,0.05,14.55,0.07,14.45,0.1,13.88,0.01,13.66,0.01,13.35,0.05,12.89,0.06,0.0,0.0,0.06,-1.69,"D ",2M,Simbad
83.947,-6.4374166,885,0.0,0.0,0.0,0.0,15.14,0.13,13.35,0.01,12.34,0.01,11.91,0.02,11.71,0.02,4.98,0.01,0.0,-1.04,"P ",2M,Simbad
84.09087,-6.4338613,886,12.27,0.03,11.13,0.04,10.26,0.03,9.04,0.01,8.54,0.01,7.99,0.01,7.33,0.01,5.32,0.02,0.15,-0.87,"D ",2M,Simbad
83.94121,-6.4330835,887,12.0,0.02,10.51,0.03,9.67,0.02,8.58,0.01,8.12,0.01,7.7,0.01,7.22,0.01,4.88,0.01,0.62,-1.28,"D ",2M,Simbad
84.025665,-6.431333,888,14.6,0.03,13.35,0.04,12.82,0.03,12.05,0.01,11.58,0.01,11.11,0.01,10.37,0.01,8.13,0.06,0.53,-0.91,"D ",2M,Simbad
