RAJ2000,DEJ2000,Seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,__3_6_,e__3_6_,__4_5_,e__4_5_,__5_8_,e__5_8_,__8_0_,e__8_0_,__24_,e__24_,AKs,alpha,Cl,_2M,Simbad
85.67783,-10.41925,1,14.38,0.04,12.06,0.03,10.5,0.02,8.53,0.01,7.57,0.01,6.71,0.01,5.85,0.01,1.97,0.01,1.15,0.22,"P ",2M,Simbad
85.62729,-10.179944,2,0.0,0.0,0.0,0.0,0.0,0.0,14.48,0.01,13.97,0.01,13.52,0.05,12.95,0.05,0.0,0.0,0.0,-1.08,"D ",2M,Simbad
85.75662,-10.130639,3,0.0,0.0,0.0,0.0,0.0,0.0,14.58,0.01,13.91,0.01,13.35,0.04,12.95,0.05,0.0,0.0,0.0,-0.97,"D ",2M,Simbad
85.55446,-10.093028,4,0.0,0.0,15.18,0.06,13.6,0.04,11.55,0.01,10.57,0.01,9.69,0.01,8.84,0.01,5.48,0.01,0.35,0.26,"P ",2M,Simbad
85.63238,-10.090611,5,14.21,0.03,12.75,0.02,11.75,0.02,10.45,0.01,9.92,0.01,9.48,0.01,8.87,0.01,6.22,0.02,0.45,-1.04,"D ",2M,Simbad
85.658455,-10.062111,6,14.05,0.03,12.77,0.03,12.14,0.03,11.57,0.01,11.3,0.01,10.92,0.01,10.55,0.02,7.68,0.04,0.51,-1.64,"D ",2M,Simbad
85.74971,-10.061111,7,12.82,0.02,11.84,0.03,11.44,0.03,10.98,0.01,10.78,0.01,10.33,0.01,9.29,0.01,5.79,0.01,0.3,-0.86,"D ",2M,Simbad
85.74996,-10.059834,8,0.0,0.0,14.09,0.08,13.49,0.06,12.7,0.01,12.44,0.01,12.03,0.02,0.0,0.0,0.0,0.0,0.27,0.0,"D ",2M,Simbad
85.741,-10.059806,9,16.16,0.08,15.18,0.07,14.48,0.1,14.06,0.01,13.75,0.01,13.23,0.04,12.83,0.05,0.0,0.0,0.07,-1.38,"D ",2M,Simbad
85.65459,-10.058222,10,12.83,0.03,11.64,0.03,11.07,0.02,10.45,0.01,10.15,0.01,9.75,0.01,8.99,0.01,6.21,0.02,0.43,-1.15,"D ",2M,Simbad
85.685165,-10.055111,11,13.5,0.03,11.92,0.02,11.14,0.02,10.42,0.01,10.19,0.01,9.87,0.01,9.17,0.01,5.14,0.02,0.77,-1.39,"D ",2M,Simbad
85.720085,-10.044806,12,15.76,0.07,14.63,0.06,14.05,0.07,13.41,0.01,13.13,0.01,12.8,0.03,12.13,0.02,0.0,0.0,0.35,-1.36,"D ",2M,Simbad
85.719124,-10.041778,13,14.7,0.03,13.6,0.04,13.0,0.03,12.46,0.01,12.28,0.01,12.1,0.02,12.03,0.02,8.57,0.09,0.3,-2.33,"D ",2M,Simbad
85.5285,-10.041166,14,0.0,0.0,15.92,0.14,14.62,0.11,13.93,0.01,13.23,0.01,12.38,0.02,11.25,0.02,7.31,0.03,0.59,0.25,FP,2M,Simbad
85.55171,-10.036417,15,13.31,0.02,12.27,0.03,11.78,0.02,11.27,0.01,10.99,0.01,10.54,0.01,9.63,0.01,6.82,0.01,0.3,-0.94,"D ",2M,Simbad
85.64337,-10.031083,16,0.0,0.0,0.0,0.0,10.15,0.03,9.65,0.01,9.45,0.01,8.26,0.01,6.54,0.02,3.93,0.01,0.0,0.89,"D ",2M,Simbad
85.61562,-10.030861,17,10.24,0.02,9.34,0.03,8.47,0.03,7.14,0.01,6.78,0.01,6.3,0.01,5.3,0.01,1.94,0.01,0.0,-0.72,"D ",2M,Simbad
85.607544,-10.029972,18,13.29,0.03,12.49,0.03,12.1,0.02,11.8,0.01,11.7,0.01,11.58,0.01,11.38,0.02,7.17,0.03,0.06,-2.35,"D ",2M,Simbad
85.66363,-10.029833,19,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.01,13.26,0.01,12.72,0.05,12.54,0.04,7.24,0.03,0.0,-1.17,FP,2M,Simbad
85.64533,-10.029528,20,10.18,0.03,9.18,0.03,8.59,0.02,7.42,0.01,6.86,0.01,6.28,0.01,5.67,0.01,2.89,0.01,0.18,-0.81,"D ",2M,Simbad
85.61887,-10.028556,21,16.24,0.09,15.18,0.07,14.42,0.09,13.75,0.02,13.5,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,"D ",2M,Simbad
85.63133,-10.026806,22,0.0,0.0,14.92,0.07,12.78,0.03,10.77,0.01,10.01,0.01,9.52,0.01,9.07,0.01,5.87,0.02,2.4,-0.92,"D ",2M,Simbad
85.638084,-10.022083,23,15.49,0.06,12.61,0.03,10.49,0.02,7.93,0.01,7.07,0.01,6.25,0.01,5.26,0.01,1.87,0.02,1.45,0.22,"P ",2M,Simbad
85.641205,-10.020416,24,0.0,0.0,0.0,0.0,13.74,0.12,9.8,0.01,8.02,0.01,6.55,0.01,5.31,0.01,1.24,0.01,0.0,2.29,"P ",2M,Simbad
85.500336,-10.019778,25,12.07,0.02,10.74,0.02,9.83,0.02,9.35,0.01,8.93,0.01,8.48,0.01,7.7,0.01,3.77,0.01,0.37,-0.93,"D ",2M,Simbad
85.659,-10.018694,26,13.72,0.03,11.31,0.03,10.02,0.03,9.28,0.01,9.0,0.01,8.69,0.01,8.46,0.01,5.34,0.01,1.45,-1.87,"D ",2M,Simbad
85.67313,-10.018306,27,14.49,0.03,13.31,0.03,12.55,0.03,11.31,0.01,10.94,0.01,10.55,0.01,10.33,0.01,8.19,0.06,0.29,-1.69,"D ",2M,Simbad
85.77108,-10.017361,28,13.41,0.02,12.21,0.02,11.61,0.02,11.11,0.01,10.9,0.01,10.71,0.01,10.59,0.01,6.15,0.02,0.42,-2.23,"D ",2M,Simbad
85.65225,-10.017305,29,13.4,0.03,11.99,0.03,11.36,0.02,10.9,0.01,10.65,0.01,10.33,0.01,9.5,0.01,4.46,0.01,0.66,-1.24,"D ",2M,Simbad
85.56379,-10.016334,30,14.57,0.03,13.29,0.04,12.59,0.03,11.91,0.01,11.52,0.01,11.03,0.01,10.17,0.01,7.75,0.05,0.46,-0.83,"D ",2M,Simbad
85.599,-10.015917,31,0.0,0.0,0.0,0.0,14.74,0.11,12.4,0.01,11.18,0.01,10.19,0.01,9.39,0.01,4.65,0.01,0.0,0.6,"P ",2M,Simbad
85.64088,-10.014694,32,15.22,0.05,13.52,0.04,12.38,0.03,10.55,0.01,9.58,0.01,8.53,0.01,6.98,0.01,2.39,0.01,0.67,1.26,"P ",2M,Simbad
85.5665,-10.011333,33,14.52,0.04,12.84,0.02,12.03,0.03,11.04,0.01,10.56,0.01,9.99,0.01,9.28,0.01,6.35,0.02,0.87,-0.8,"D ",2M,Simbad
85.62679,-10.010583,34,15.85,0.07,14.39,0.04,13.5,0.04,12.73,0.01,12.45,0.01,12.17,0.02,11.82,0.01,9.09,0.12,0.54,-1.78,"D ",2M,Simbad
85.60133,-10.010305,35,13.67,0.03,12.55,0.03,11.8,0.02,10.68,0.01,10.15,0.01,9.79,0.01,9.18,0.01,6.8,0.03,0.22,-1.14,"D ",2M,Simbad
85.66287,-10.009306,36,16.28,0.1,14.46,0.06,13.46,0.03,12.27,0.01,11.84,0.01,11.44,0.01,10.95,0.01,8.29,0.05,0.93,-1.32,"D ",2M,Simbad
85.58596,-10.005639,37,0.0,0.0,0.0,0.0,0.0,0.0,13.95,0.01,13.11,0.01,12.22,0.04,11.17,0.03,6.65,0.03,0.0,0.36,"P ",2M,Simbad
85.77046,-10.0055275,38,13.44,0.03,12.12,0.04,11.47,0.03,10.65,0.01,10.32,0.01,9.98,0.01,9.27,0.01,6.38,0.01,0.53,-1.25,"D ",2M,Simbad
85.63463,-10.004806,39,15.37,0.04,14.62,0.05,14.07,0.07,13.46,0.01,13.12,0.01,12.58,0.03,11.79,0.02,0.0,0.0,0.0,-0.89,"D ",2M,Simbad
85.5795,-10.002194,40,15.23,0.06,11.95,0.03,9.76,0.02,7.51,0.01,6.41,0.01,5.53,0.01,4.63,0.01,0.98,0.01,1.91,0.44,"P ",2M,Simbad
85.64308,-9.996778,41,16.67,0.13,15.28,0.08,14.48,0.09,13.28,0.01,12.74,0.01,12.35,0.02,11.82,0.02,8.46,0.08,0.53,-1.19,"D ",2M,Simbad
85.574295,-9.996639,42,0.0,0.0,0.0,0.0,13.93,0.07,10.75,0.01,9.52,0.01,8.69,0.01,7.97,0.01,3.51,0.01,0.0,0.3,"P ",2M,Simbad
85.57029,-9.995,43,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.02,12.3,0.02,12.08,0.1,11.77,0.1,5.89,0.04,0.0,-1.6,"D ",2M,Simbad
85.57271,-9.994805,44,15.94,0.09,13.38,0.04,11.76,0.03,9.59,0.01,8.62,0.01,7.83,0.01,7.09,0.01,3.29,0.01,1.42,0.01,"P ",2M,Simbad
85.65425,-9.99375,45,12.56,0.02,11.54,0.02,10.83,0.02,9.59,0.01,9.1,0.01,8.68,0.01,8.03,0.01,5.32,0.01,0.11,-1.06,"D ",2M,Simbad
85.65204,-9.986834,46,15.32,0.05,13.64,0.04,12.68,0.03,11.87,0.01,11.34,0.01,10.76,0.02,9.89,0.02,6.49,0.02,0.76,-0.56,"D ",2M,Simbad
85.64933,-9.981944,47,9.97,0.02,8.96,0.02,8.23,0.05,7.47,0.01,7.14,0.01,6.85,0.01,6.34,0.01,3.34,0.01,0.09,-1.55,"D ",2M,Simbad
85.67758,-9.977528,48,14.67,0.04,13.88,0.03,13.48,0.04,13.16,0.01,13.0,0.01,12.75,0.03,12.2,0.03,9.41,0.16,0.04,-1.72,"D ",2M,Simbad
85.543335,-9.977195,49,13.0,0.02,11.71,0.02,11.05,0.02,10.23,0.01,9.75,0.01,9.16,0.01,8.27,0.01,4.87,0.01,0.5,-0.57,"D ",2M,Simbad
85.73983,-9.973333,50,14.97,0.05,14.2,0.05,13.79,0.05,13.24,0.01,12.9,0.01,12.55,0.02,11.79,0.03,9.18,0.15,0.01,-1.19,"D ",2M,Simbad
85.631874,-9.961416,51,12.85,0.03,11.7,0.03,11.13,0.02,10.28,0.01,9.86,0.01,9.44,0.01,8.94,0.01,6.33,0.02,0.39,-1.29,"D ",2M,Simbad
85.71558,-9.961306,52,13.55,0.03,12.07,0.02,11.51,0.02,10.85,0.01,10.67,0.01,10.64,0.01,10.37,0.01,5.43,0.02,0.8,-2.31,"D ",2M,Simbad
85.73675,-9.960111,53,15.31,0.05,13.8,0.03,12.99,0.03,12.23,0.01,11.94,0.01,11.61,0.01,11.21,0.01,8.51,0.07,0.67,-1.66,"D ",2M,Simbad
85.51192,-9.9533615,54,14.71,0.04,13.35,0.04,12.68,0.04,11.92,0.01,11.46,0.01,10.87,0.01,10.11,0.01,7.67,0.04,0.58,-0.73,"D ",2M,Simbad
85.55879,-9.938917,55,11.24,0.04,10.17,0.05,9.39,0.04,8.55,0.01,8.08,0.01,0.0,0.0,0.0,0.0,3.25,0.01,0.13,0.0,"D ",2M,Simbad
85.55908,-9.936889,56,0.0,0.0,0.0,0.0,12.34,0.15,10.78,0.01,10.06,0.01,9.34,0.01,8.56,0.01,5.42,0.02,0.0,-0.27,"D ",2M,Simbad
85.674,-9.935638,57,16.03,0.08,15.5,0.1,14.83,0.13,14.12,0.01,13.73,0.01,13.36,0.05,13.0,0.04,0.0,0.0,0.0,-1.55,"D ",2M,Simbad
85.7245,-9.933361,58,15.55,0.06,13.58,0.04,12.51,0.03,11.62,0.01,11.22,0.01,10.89,0.01,10.56,0.01,8.2,0.06,1.06,-1.62,"D ",2M,Simbad
85.663414,-9.92575,59,12.57,0.03,11.26,0.02,10.52,0.02,9.48,0.01,9.06,0.01,8.65,0.01,7.86,0.01,4.57,0.01,0.46,-0.98,"D ",2M,Simbad
85.74421,-9.9216385,60,16.58,0.13,15.01,0.07,13.72,0.05,12.54,0.01,11.57,0.01,10.86,0.01,9.88,0.01,3.87,0.01,0.38,0.16,"P ",2M,Simbad
85.63854,-9.909083,61,12.98,0.02,11.91,0.02,11.46,0.02,10.83,0.01,10.51,0.01,10.1,0.01,9.62,0.01,7.5,0.04,0.38,-1.43,"D ",2M,Simbad
85.69358,-9.900556,62,14.84,0.04,13.03,0.02,12.22,0.02,11.35,0.01,10.96,0.01,10.41,0.01,9.69,0.01,6.2,0.02,1.06,-0.9,"D ",2M,Simbad
85.48879,-9.899611,63,11.89,0.02,11.02,0.02,10.6,0.02,10.19,0.01,9.94,0.01,9.58,0.01,9.18,0.01,6.9,0.02,0.15,-1.66,"D ",2M,Simbad
85.59179,-9.890139,64,14.01,0.03,12.84,0.02,12.11,0.02,11.35,0.01,10.85,0.01,10.37,0.01,9.77,0.01,7.34,0.03,0.28,-1.02,"D ",2M,Simbad
85.628044,-9.884194,65,13.36,0.05,11.97,0.05,11.15,0.03,9.73,0.01,9.24,0.01,8.81,0.01,8.3,0.01,6.12,0.02,0.49,-1.2,"D ",2M,Simbad
85.76312,-9.870028,66,12.85,0.03,11.84,0.03,11.38,0.03,10.63,0.01,10.22,0.01,9.65,0.01,9.03,0.01,6.92,0.02,0.29,-0.96,"D ",2M,Simbad
85.76683,-9.866889,67,15.88,0.06,14.93,0.07,14.52,0.08,13.72,0.01,13.34,0.01,12.95,0.03,12.29,0.03,0.0,0.0,0.25,-1.2,"D ",2M,Simbad
85.750336,-9.852639,68,14.35,0.03,13.13,0.03,12.46,0.03,11.44,0.01,11.05,0.01,10.62,0.01,10.04,0.01,6.26,0.02,0.41,-1.23,"D ",2M,Simbad
85.7345,-9.847667,69,16.69,0.13,13.75,0.04,11.55,0.02,8.35,0.01,7.3,0.01,6.43,0.01,5.59,0.01,2.23,0.01,1.47,0.31,"P ",2M,Simbad
85.73766,-9.847417,70,13.52,0.03,12.06,0.03,11.16,0.02,9.99,0.01,9.6,0.01,9.19,0.01,8.38,0.02,4.41,0.01,0.54,-1.0,"D ",2M,Simbad
85.70375,-9.836667,71,10.78,0.03,9.59,0.03,8.73,0.02,7.76,0.01,7.27,0.01,6.83,0.01,6.29,0.01,4.24,0.01,0.23,-1.15,"D ",2M,Simbad
85.49162,-9.830833,72,12.33,0.02,11.49,0.02,11.23,0.02,11.08,0.01,11.03,0.01,10.89,0.01,11.0,0.01,7.42,0.04,0.2,-2.71,"D ",2M,Simbad
85.589165,-9.828917,73,15.05,0.03,13.06,0.02,11.71,0.02,10.44,0.01,9.75,0.01,9.29,0.01,8.67,0.01,5.55,0.01,0.88,-0.84,"D ",2M,Simbad
85.69204,-9.828472,74,16.35,0.1,14.74,0.05,13.68,0.05,12.32,0.01,11.86,0.01,11.42,0.01,10.86,0.01,7.39,0.03,0.6,-1.16,"D ",2M,Simbad
85.692955,-9.800834,75,0.0,0.0,14.42,0.04,12.73,0.03,11.45,0.01,10.75,0.01,10.25,0.02,9.85,0.07,0.0,0.0,1.5,-1.02,"D ",2M,Simbad
85.70367,-9.795167,76,0.0,0.0,0.0,0.0,13.82,0.09,11.74,0.01,10.73,0.01,10.16,0.09,0.0,0.0,5.13,0.02,0.0,0.0,"P ",2M,Simbad
85.620834,-9.792389,77,0.0,0.0,0.0,0.0,0.0,0.0,12.74,0.01,11.22,0.01,10.25,0.01,9.33,0.01,4.21,0.01,0.0,0.99,"P ",2M,Simbad
85.69875,-9.789444,78,10.82,0.03,9.81,0.03,9.23,0.03,8.87,0.01,8.75,0.01,8.19,0.09,0.0,0.0,4.38,0.02,0.2,0.0,"D ",2M,Simbad
85.73617,-9.782945,79,15.81,0.07,13.84,0.04,12.9,0.03,12.07,0.01,11.58,0.01,11.05,0.01,10.41,0.01,7.58,0.04,1.16,-0.92,"D ",2M,Simbad
85.40992,-9.777917,80,15.03,0.05,13.47,0.03,12.33,0.03,11.09,0.01,10.44,0.01,9.87,0.01,9.35,0.01,7.03,0.03,0.5,-0.84,"D ",2M,Simbad
85.624374,-9.777555,81,14.27,0.03,12.81,0.02,12.12,0.02,11.36,0.01,10.96,0.01,10.41,0.01,9.43,0.01,5.58,0.01,0.7,-0.6,"D ",2M,Simbad
85.73279,-9.77675,82,0.0,0.0,15.59,0.11,14.59,0.09,13.66,0.01,13.28,0.01,12.88,0.02,12.27,0.04,0.0,0.0,0.9,-1.24,"D ",2M,Simbad
85.696,-9.774417,83,16.2,0.09,14.89,0.06,14.14,0.07,13.37,0.01,13.14,0.01,12.96,0.07,0.0,0.0,0.0,0.0,0.44,0.0,"D ",2M,Simbad
85.81275,-9.772944,84,12.92,0.03,11.97,0.03,11.46,0.03,10.67,0.01,0.0,0.0,10.16,0.01,0.0,0.0,6.5,0.02,0.16,0.0,"D ",2M,Simbad
85.700584,-9.77125,85,14.99,0.03,13.43,0.02,12.57,0.03,11.87,0.01,11.59,0.01,11.33,0.01,10.96,0.03,5.91,0.02,0.69,-1.79,"D ",2M,Simbad
85.704956,-9.766973,86,16.42,0.1,14.65,0.06,13.54,0.04,12.54,0.01,12.04,0.01,11.49,0.01,10.91,0.01,7.74,0.05,0.79,-0.95,"D ",2M,Simbad
85.71496,-9.76425,87,14.94,0.04,13.53,0.03,12.84,0.03,11.94,0.01,11.36,0.01,10.65,0.01,9.75,0.01,7.11,0.03,0.63,-0.3,"D ",2M,Simbad
85.718414,-9.761027,88,13.13,0.03,11.61,0.03,10.93,0.02,10.27,0.01,9.91,0.01,9.45,0.01,8.93,0.01,6.42,0.02,0.78,-1.27,"D ",2M,Simbad
85.704666,-9.759556,89,0.0,0.0,14.26,0.06,12.17,0.03,10.33,0.01,9.54,0.01,8.83,0.01,8.16,0.01,4.47,0.01,2.17,-0.34,"P ",2M,Simbad
85.709,-9.755139,90,14.81,0.04,13.36,0.03,12.58,0.02,11.86,0.01,11.62,0.01,11.45,0.05,0.0,0.0,0.0,0.0,0.62,0.0,"D ",2M,Simbad
85.70575,-9.754194,91,15.27,0.05,11.88,0.03,9.54,0.02,7.36,0.01,6.52,0.01,5.77,0.01,5.1,0.01,1.88,0.01,1.94,-0.24,"D ",2M,Simbad
85.69,-9.752361,92,13.05,0.02,11.41,0.02,10.54,0.02,9.53,0.01,9.03,0.01,8.51,0.01,7.81,0.01,4.86,0.02,0.78,-0.86,"D ",2M,Simbad
85.63641,-9.751833,93,13.82,0.03,12.31,0.02,11.46,0.02,10.65,0.01,10.33,0.01,10.03,0.01,9.47,0.01,6.23,0.02,0.64,-1.49,"D ",2M,Simbad
85.24267,-9.751805,94,12.7,0.02,11.49,0.02,10.47,0.02,9.4,0.01,8.85,0.01,8.32,0.01,7.53,0.01,4.94,0.01,0.13,-0.69,"D ",2M,Simbad
85.67758,-9.7509165,95,12.99,0.02,11.2,0.02,10.01,0.02,8.85,0.01,8.35,0.01,7.95,0.01,7.47,0.01,4.39,0.01,0.73,-1.26,"D ",2M,Simbad
85.69937,-9.747472,96,14.65,0.04,12.68,0.03,11.63,0.02,10.8,0.01,10.35,0.01,9.91,0.01,9.2,0.01,5.36,0.02,1.09,-1.01,"D ",2M,Simbad
85.684044,-9.746917,97,14.0,0.03,12.69,0.02,12.07,0.02,11.14,0.01,10.69,0.01,10.24,0.01,9.55,0.01,6.47,0.02,0.55,-1.01,"D ",2M,Simbad
85.706085,-9.744361,98,14.51,0.04,12.97,0.03,12.15,0.03,11.25,0.01,10.69,0.01,9.98,0.01,8.9,0.01,5.35,0.01,0.7,-0.12,"D ",2M,Simbad
85.593,-9.73925,99,16.08,0.08,14.85,0.07,14.26,0.08,13.52,0.01,13.24,0.01,13.03,0.03,12.66,0.04,0.0,0.0,0.48,-1.86,"D ",2M,Simbad
85.318794,-9.737333,100,12.85,0.02,12.08,0.03,11.76,0.03,11.2,0.01,10.83,0.01,10.39,0.01,9.79,0.01,7.9,0.05,0.09,-1.2,"D ",2M,Simbad
85.30317,-9.661,101,14.08,0.05,13.43,0.05,13.04,0.06,12.57,0.01,12.34,0.01,12.11,0.02,11.76,0.02,0.0,0.0,0.0,-1.9,"D ",2M,Simbad
85.70617,-9.644972,102,14.52,0.04,13.4,0.04,12.93,0.03,12.49,0.01,12.28,0.01,12.16,0.01,12.01,0.03,6.58,0.02,0.41,-2.3,"D ",2M,Simbad
85.45783,-9.6310835,103,0.0,0.0,0.0,0.0,0.0,0.0,13.82,0.01,12.88,0.01,11.92,0.01,11.0,0.01,7.37,0.03,0.0,0.41,FP,2M,Simbad
85.17934,-9.618527,104,14.42,0.04,13.73,0.03,13.34,0.05,12.85,0.01,12.54,0.01,12.11,0.01,11.56,0.02,8.81,0.09,0.0,-1.33,"D ",2M,Simbad
85.26354,-9.614361,105,10.69,0.03,9.72,0.03,9.1,0.02,8.19,0.01,7.81,0.01,7.46,0.01,6.73,0.01,3.84,0.02,0.13,-1.18,"D ",2M,Simbad
85.17271,-9.607166,106,12.49,0.02,11.67,0.02,11.45,0.02,11.07,0.01,10.89,0.01,10.52,0.01,9.97,0.01,6.82,0.02,0.2,-1.55,"D ",2M,Simbad
85.1265,-9.5980835,107,13.14,0.02,12.29,0.02,11.9,0.02,11.64,0.01,11.48,0.01,11.28,0.01,11.04,0.01,8.19,0.06,0.13,-2.13,"D ",2M,Simbad
85.390045,-9.579056,108,14.96,0.04,14.21,0.04,13.68,0.05,12.9,0.01,12.5,0.01,12.07,0.02,11.51,0.02,8.33,0.08,0.0,-1.23,"D ",2M,Simbad
85.218956,-9.577472,109,13.33,0.03,12.51,0.03,12.17,0.03,11.72,0.01,11.49,0.01,11.1,0.01,10.48,0.01,8.17,0.06,0.12,-1.39,"D ",2M,Simbad
85.40125,-9.566417,110,15.16,0.04,14.43,0.05,14.21,0.07,13.72,0.01,13.54,0.01,13.2,0.03,12.52,0.05,0.0,0.0,0.11,-1.43,"D ",2M,Simbad
85.514,-9.548639,111,15.87,0.07,15.07,0.07,14.58,0.1,13.58,0.01,13.06,0.01,12.74,0.03,12.29,0.03,0.0,0.0,0.01,-1.39,"D ",2M,Simbad
85.26637,-9.539222,112,13.96,0.03,13.1,0.03,12.69,0.03,12.28,0.01,11.96,0.01,11.67,0.01,11.06,0.02,7.84,0.04,0.13,-1.45,"D ",2M,Simbad
85.288124,-9.53725,113,14.13,0.03,13.2,0.03,12.69,0.03,11.83,0.01,11.45,0.01,11.07,0.01,10.62,0.01,8.0,0.05,0.14,-1.43,"D ",2M,Simbad
85.22004,-9.536222,114,14.87,0.04,14.14,0.04,13.76,0.06,13.3,0.01,12.98,0.01,12.64,0.03,11.96,0.03,9.48,0.17,0.0,-1.3,"D ",2M,Simbad
85.36542,-9.528083,115,12.15,0.02,11.03,0.02,10.27,0.02,9.35,0.01,8.95,0.01,8.82,0.01,8.37,0.01,5.06,0.01,0.2,-1.77,"D ",2M,Simbad
85.41221,-9.523666,116,0.0,0.0,0.0,0.0,0.0,0.0,14.41,0.01,13.61,0.01,12.71,0.03,11.5,0.04,7.77,0.04,0.0,0.52,FP,2M,Simbad
85.40296,-9.512806,117,14.28,0.03,12.97,0.02,12.01,0.02,10.67,0.01,10.15,0.01,9.78,0.01,9.32,0.01,6.66,0.02,0.29,-1.31,"D ",2M,Simbad
85.317375,-9.504694,118,12.65,0.03,11.78,0.02,11.5,0.03,11.35,0.01,11.23,0.01,11.02,0.01,10.11,0.01,5.8,0.01,0.24,-1.42,"D ",2M,Simbad
85.29188,-9.494611,119,14.38,0.03,13.47,0.04,12.98,0.04,12.28,0.01,11.93,0.01,11.43,0.01,10.9,0.02,8.75,0.09,0.14,-1.21,"D ",2M,Simbad
85.31138,-9.482166,120,12.82,0.02,11.92,0.03,11.44,0.03,11.04,0.01,10.73,0.01,10.48,0.01,9.92,0.01,6.65,0.02,0.14,-1.56,"D ",2M,Simbad
85.216705,-9.46925,121,15.02,0.05,14.25,0.05,13.71,0.06,12.21,0.01,11.64,0.01,11.16,0.01,10.33,0.02,7.55,0.04,0.0,-0.69,"D ",2M,Simbad
85.12258,-9.468778,122,16.61,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.14,0.07,6.87,0.03,0.0,0.0,"P ",2M,Simbad
85.218414,-9.457389,123,13.69,0.03,12.69,0.03,12.14,0.03,11.65,0.01,11.33,0.01,10.96,0.01,10.16,0.01,6.64,0.02,0.22,-1.12,"D ",2M,Simbad
85.40767,-9.438444,124,13.55,0.02,12.56,0.02,12.2,0.03,11.65,0.01,11.37,0.01,10.9,0.01,10.27,0.01,7.36,0.04,0.35,-1.22,"D ",2M,Simbad
85.503624,-9.420889,125,17.0,0.17,15.55,0.13,14.17,0.07,12.37,0.01,11.55,0.01,10.73,0.01,9.92,0.01,6.11,0.02,0.16,-0.01,"P ",2M,Simbad
85.25816,-9.398306,126,14.25,0.03,13.18,0.03,12.79,0.03,12.28,0.01,12.06,0.01,11.74,0.02,11.42,0.05,8.92,0.12,0.41,-1.82,"D ",2M,Simbad
85.20216,-9.396306,127,11.62,0.02,10.5,0.02,10.07,0.02,9.41,0.01,9.1,0.01,8.72,0.01,8.05,0.01,5.36,0.01,0.45,-1.26,"D ",2M,Simbad
85.36754,-9.394584,128,13.45,0.03,12.55,0.03,12.23,0.02,11.95,0.01,11.85,0.01,11.69,0.01,11.38,0.03,7.33,0.03,0.25,-2.18,"D ",2M,Simbad
85.26721,-9.388722,129,13.2,0.04,12.78,0.04,12.37,0.04,10.17,0.01,9.68,0.01,6.51,0.01,4.67,0.01,1.0,0.01,0.0,4.03,"D ",2M,Simbad
85.148834,-9.378889,130,14.7,0.04,12.4,0.03,10.67,0.02,8.87,0.01,8.09,0.01,7.43,0.01,6.7,0.01,3.58,0.01,1.0,-0.36,"D ",2M,Simbad
85.24475,-9.377055,131,13.01,0.16,11.77,0.06,11.3,0.05,10.51,0.01,10.2,0.01,9.88,0.01,9.46,0.01,6.65,0.02,0.58,-1.63,"D ",2M,Simbad
85.77966,-9.373528,132,16.42,0.1,14.99,0.07,13.85,0.05,12.73,0.01,12.38,0.01,12.01,0.01,11.37,0.01,6.76,0.02,0.33,-1.28,"D ",2M,Simbad
85.666,-9.362722,133,12.74,0.03,11.75,0.02,11.3,0.02,10.29,0.01,9.86,0.01,9.41,0.01,8.76,0.01,5.99,0.01,0.27,-1.07,"D ",2M,Simbad
85.29562,-9.353167,134,14.43,0.04,13.56,0.04,13.09,0.04,12.45,0.01,12.15,0.01,11.74,0.02,11.17,0.03,8.64,0.08,0.1,-1.34,"D ",2M,Simbad
85.687874,-9.345,135,13.79,0.03,12.64,0.02,12.16,0.02,11.52,0.01,11.17,0.01,10.66,0.01,10.05,0.01,6.66,0.02,0.46,-1.11,"D ",2M,Simbad
85.239456,-9.342028,136,14.89,0.04,13.77,0.04,12.97,0.04,12.05,0.01,11.58,0.01,11.15,0.01,10.53,0.02,8.0,0.05,0.18,-1.1,"D ",2M,Simbad
85.15571,-9.341861,137,12.47,0.03,10.98,0.03,10.04,0.02,8.62,0.01,7.98,0.01,7.54,0.01,6.84,0.01,4.31,0.01,0.53,-0.84,"D ",2M,Simbad
85.206085,-9.340667,138,0.0,0.0,0.0,0.0,0.0,0.0,13.63,0.01,12.81,0.01,12.13,0.04,11.67,0.07,7.59,0.04,0.0,-0.59,FP,2M,Simbad
85.129,-9.337639,139,14.4,0.04,13.44,0.03,12.99,0.04,12.12,0.01,11.82,0.01,11.42,0.01,10.95,0.03,8.23,0.07,0.23,-1.47,"D ",2M,Simbad
85.191376,-9.336,140,15.05,0.04,13.84,0.04,13.21,0.04,12.52,0.01,12.16,0.01,11.75,0.03,11.3,0.05,8.45,0.08,0.42,-1.42,"D ",2M,Simbad
85.24646,-9.329805,141,12.41,0.03,11.28,0.03,10.83,0.02,10.46,0.01,10.32,0.01,10.02,0.01,9.71,0.01,7.05,0.02,0.46,-1.94,"D ",2M,Simbad
